Departamento,Municipio,Veterano,Otro,Total
GUATEMALA,GUATEMALA,17,3,20
GUATEMALA,SANTA CATARINA PINULA,2,0,2
GUATEMALA,SAN JOSE PINULA,0,0,0
GUATEMALA,SAN JOSE DEL GOLFO,0,0,0
GUATEMALA,PALENCIA,4,0,4
GUATEMALA,CHINAUTLA,1,0,1
GUATEMALA,SAN PEDRO AYAMPUC,1,0,1
GUATEMALA,MIXCO,0,0,0
GUATEMALA,SAN PEDRO SACATEPEQUEZ,1,0,1
GUATEMALA,SAN JUAN SACATEPEQUEZ,3,0,3
GUATEMALA,SAN RAYMUNDO,1,0,1
GUATEMALA,CHUARRANCHO,2,0,2
GUATEMALA,FRAIJANES,3,0,3
GUATEMALA,AMATITLAN,2,0,2
GUATEMALA,VILLA NUEVA,0,0,0
GUATEMALA,VILLA CANALES,6,0,6
GUATEMALA,PETAPA,0,0,0
EL PROGRESO,GUASTATOYA,0,0,0
EL PROGRESO,MORAZAN,1,0,1
EL PROGRESO,SAN AGUSTIN ACASAGUASTLAN,3,2,5
EL PROGRESO,SAN CRISTOBAL ACASAGUASTLAN,1,0,1
EL PROGRESO,EL JICARO,4,0,4
EL PROGRESO,SANSARE,5,0,5
EL PROGRESO,SANARATE,1,0,1
EL PROGRESO,SAN ANTONIO LA PAZ,1,0,1
SACATEPEQUEZ,ANTIGUA GUATEMALA,6,0,6
SACATEPEQUEZ,JOCOTENANGO,0,0,0
SACATEPEQUEZ,PASTORES,0,0,0
SACATEPEQUEZ,SUMPANGO,0,0,0
SACATEPEQUEZ,SANTO DOMINGO XENACOJ,1,0,1
SACATEPEQUEZ,SANTIAGO SACATEPEQUEZ,32,6,38
SACATEPEQUEZ,SAN BARTOLOME MILPAS ALTAS,0,0,0
SACATEPEQUEZ,SAN LUCAS SACATEPEQUEZ,0,0,0
SACATEPEQUEZ,SANTA LUCIA MILPAS ALTAS,0,0,0
SACATEPEQUEZ,MAGDALENA MILPAS ALTAS,0,0,0
SACATEPEQUEZ,SANTA MARIA DE JESUS,3,0,3
SACATEPEQUEZ,CIUDAD VIEJA,2,0,2
SACATEPEQUEZ,SAN MIGUEL DUE,0,0,0
SACATEPEQUEZ,ALOTENANGO,67,4,71
SACATEPEQUEZ,SAN ANTONIO AGUAS CALIENTES,0,0,0
SACATEPEQUEZ,SANTA CATARINA BARAHONA,0,0,0
CHIMALTENANGO,CHIMALTENANGO,6,0,6
CHIMALTENANGO,SAN JOSE POAQUIL,0,0,0
CHIMALTENANGO,SAN MARTIN JILOTEPEQUE,0,0,0
CHIMALTENANGO,SAN JUAN COMALAPA,40,3,43
CHIMALTENANGO,SANTA APOLONIA,3,0,3
CHIMALTENANGO,TECPAN GUATEMALA,23,6,29
CHIMALTENANGO,PATZUN,1,0,1
CHIMALTENANGO,POCHUTA,2,0,2
CHIMALTENANGO,PATZICIA,0,0,0
CHIMALTENANGO,SANTA CRUZ BALANYA,4,0,4
CHIMALTENANGO,ACATENANGO,3,0,3
CHIMALTENANGO,YEPOCAPA,0,0,0
CHIMALTENANGO,SAN ANDRES ITZAPA,0,0,0
CHIMALTENANGO,PARRAMOS,2,0,2
CHIMALTENANGO,ZARAGOZA,1,1,2
CHIMALTENANGO,EL TEJAR,0,0,0
ESCUINTLA,ESCUINTLA,11,0,11
ESCUINTLA,SANTA LUCIA COTZULMALGUAPA,3,0,3
ESCUINTLA,LA DEMOCRACIA,0,0,0
ESCUINTLA,SIQUINALA,0,0,0
ESCUINTLA,MASAGUA,1,0,1
ESCUINTLA,TIQUISATE,4,0,4
ESCUINTLA,LA GOMERA,0,0,0
ESCUINTLA,GUANAGAZAPA,0,0,0
ESCUINTLA,SAN JOSE,3,0,3
ESCUINTLA,IZTAPA,0,0,0
ESCUINTLA,PALIN,0,0,0
ESCUINTLA,SAN VICENTE PACAYA,1,0,1
ESCUINTLA,NUEVA CONCEPCION,0,0,0
SANTA ROSA,CUILAPA,4,0,4
SANTA ROSA,BARBERENA,5,1,6
SANTA ROSA,SANTA ROSA DE LIMA,7,0,7
SANTA ROSA,CASILLAS,6,0,6
SANTA ROSA,SAN RAFAEL LAS FLORES,1,1,2
SANTA ROSA,ORATORIO,2,0,2
SANTA ROSA,SAN JUAN TECUACO,16,1,17
SANTA ROSA,CHIQUIMULILLA,7,0,7
SANTA ROSA,TAXISCO,3,0,3
SANTA ROSA,SANTA MARIA IXHUATAN,5,1,6
SANTA ROSA,GUAZACAPAN,4,1,5
SANTA ROSA,SANTA CRUZ NARANJO,1,0,1
SANTA ROSA,PUEBLO NUEVO VI,3,0,3
SANTA ROSA,NUEVA SANTA ROSA,28,1,29
SOLOLA,SOLOLA,0,0,0
SOLOLA,SAN JOSE CHACAYA,0,0,0
SOLOLA,SANTA MARIA VISITACION,0,0,0
SOLOLA,SANTA LUCIA UTATLAN,1,0,1
SOLOLA,NAHUALA,0,0,0
SOLOLA,SANTA CATARINA IXTAHUACAN,0,0,0
SOLOLA,SANTA CLARA LA LAGUNA,0,0,0
SOLOLA,CONCEPCION,0,0,0
SOLOLA,SAN ANDRES SEMETABAJ,0,0,0
SOLOLA,PANAJACHEL,1,0,1
SOLOLA,SANTA CATARINA PALAPO,0,0,0
SOLOLA,SAN ANTONIO PALAPO,0,0,0
SOLOLA,SAN LUCAS TOLIMAN,0,0,0
SOLOLA,SANTA CRUZ LA LAGUNA,0,0,0
SOLOLA,SAN PABLO LA LAGUNA,1,0,1
SOLOLA,SAN MARCOS LA LAGUNA,0,0,0
SOLOLA,SAN JUAN LA LAGUNA,1,0,1
SOLOLA,SAN PEDRO LA LAGUNA,7,1,8
SOLOLA,SANTIAGO ATITLAN,0,0,0
TOTONICAPAN,TOTONICAPAN,2,0,2
TOTONICAPAN,SAN CRISTOBAL TOTONICAPAN,0,0,0
TOTONICAPAN,SAN FRANCISCO EL ALTO,0,0,0
TOTONICAPAN,SAN ANDRES XECUL,0,0,0
TOTONICAPAN,MOMOSTENANGO,4,0,4
TOTONICAPAN,SANTA MARIA CHIQUIMILA,1,0,1
TOTONICAPAN,SANTA LUCIA LA REFORMA,0,0,0
TOTONICAPAN,SAN BARTOLO AGUAS CALIENTES,0,0,0
QUETZALTENANGO,QUETZALTENANGO,1,0,1
QUETZALTENANGO,SALCAJA,0,0,0
QUETZALTENANGO,OLINTEPEQUE,0,0,0
QUETZALTENANGO,SAN CARLOS SIJA,3,0,3
QUETZALTENANGO,SIBILIA,0,0,0
QUETZALTENANGO,CABRICAN,1,0,1
QUETZALTENANGO,CAJOLA,0,0,0
QUETZALTENANGO,SAN MIGUEL SIG,0,0,0
QUETZALTENANGO,SAN JUAN OSTUNCALCO,0,0,0
QUETZALTENANGO,SAN MATEO,0,0,0
QUETZALTENANGO,CONCEPCION CHIQUIRICHAPA,0,0,0
QUETZALTENANGO,SAN MARTIN SACATEPEQUEZ,0,0,0
QUETZALTENANGO,ALMOLONGA,0,0,0
QUETZALTENANGO,CANTEL,1,0,1
QUETZALTENANGO,HUITAN,0,0,0
QUETZALTENANGO,ZUNIL,0,0,0
QUETZALTENANGO,COLOMBA,1,0,1
QUETZALTENANGO,SAN FRANCISCO LA UNION,0,0,0
QUETZALTENANGO,EL PALMAR,1,0,1
QUETZALTENANGO,COATEPEQUE,3,1,4
QUETZALTENANGO,GENOVA,1,0,1
QUETZALTENANGO,FLORES COSTA CUCA,0,0,0
QUETZALTENANGO,LA ESPERANZA,0,0,0
QUETZALTENANGO,PALESTINA DE LOS ALTOS,1,0,1
SUCHITEPEQUEZ,MAZATENANGO,1,0,1
SUCHITEPEQUEZ,CUYOTENANGO,0,0,0
SUCHITEPEQUEZ,SAN FRANCISCO ZAPOTITLAN,1,0,1
SUCHITEPEQUEZ,SAN BERNANDINO,0,0,0
SUCHITEPEQUEZ,SAN JOSE EL IDOLO,0,0,0
SUCHITEPEQUEZ,SANTO DOMINGO SUCHITEPEQUEZ,0,0,0
SUCHITEPEQUEZ,SAN LORENZO,0,0,0
SUCHITEPEQUEZ,SAMAYAC,1,0,1
SUCHITEPEQUEZ,SAN PABLO JOCOPILAS,0,0,0
SUCHITEPEQUEZ,SAN ANTONIO SUCHITEPEQUEZ,1,0,1
SUCHITEPEQUEZ,SAN MIGUEL PANAN,0,0,0
SUCHITEPEQUEZ,SAN GABRIEL,0,0,0
SUCHITEPEQUEZ,CHICACAO,1,0,1
SUCHITEPEQUEZ,PATULUL,0,0,0
SUCHITEPEQUEZ,SANTA BARBARA,5,0,5
SUCHITEPEQUEZ,SAN JUAN BAUTISTA,1,0,1
SUCHITEPEQUEZ,SANTO TOMAS LA UNION,0,0,0
SUCHITEPEQUEZ,ZUNILITO,1,0,1
SUCHITEPEQUEZ,PUEBLO NUEVO,0,0,0
SUCHITEPEQUEZ,RIO BRAVO,1,0,1
RETHALULEU,RETALHULEU,4,0,4
RETHALULEU,SAN SEBASTIAN,0,0,0
RETHALULEU,SANTA CRUZ MULUA,0,0,0
RETHALULEU,SAN MARTIN ZAPOTITLAN,1,0,1
RETHALULEU,SAN FELIPE RETALHULEU,0,0,0
RETHALULEU,SAN ANDRES VILLA SECA,1,0,1
RETHALULEU,CHAMPERICO,1,0,1
RETHALULEU,NUEVO SAN CARLOS,2,0,2
RETHALULEU,EL ASINTAL,0,0,0
SAN MARCOS,SAN MARCOS,1,0,1
SAN MARCOS,SAN PEDRO SACATEPEQUEZ,0,0,0
SAN MARCOS,SAN ANTONIO SACATEPEQUEZ,2,0,2
SAN MARCOS,COMITANCILLO,1,0,1
SAN MARCOS,SAN MIGUEL IXTAHUACAN,4,0,4
SAN MARCOS,CONCEPCION TUTUAPA,1,0,1
SAN MARCOS,TACANA,0,0,0
SAN MARCOS,SIBINAL,0,0,0
SAN MARCOS,TAJUMULCO,0,0,0
SAN MARCOS,TEJUTLA,2,0,2
SAN MARCOS,SAN RAFAEL PIE DE LA CUESTA,0,0,0
SAN MARCOS,NUEVO PROGRESO,0,0,0
SAN MARCOS,EL TUMBADOR,5,0,5
SAN MARCOS,EL RODEO,0,0,0
SAN MARCOS,MALACATAN,2,0,2
SAN MARCOS,CATARINA,0,0,0
SAN MARCOS,AYUTLA,1,0,1
SAN MARCOS,OCOS,0,0,0
SAN MARCOS,SAN PABLO,0,0,0
SAN MARCOS,EL QUETZAL,1,0,1
SAN MARCOS,LA REFORMA,1,0,1
SAN MARCOS,PAJAPITA,0,0,0
SAN MARCOS,IXCHIGUAN,1,0,1
SAN MARCOS,SAN JOSE OJETENAM,0,0,0
SAN MARCOS,SAN CRISTOBAL CUCHO,0,0,0
SAN MARCOS,SIPACAPA,2,0,2
SAN MARCOS,ESQUIPULAS PALO GORDO,0,1,1
SAN MARCOS,RIO BLANCO,0,0,0
SAN MARCOS,SAN LORENZO,0,0,0
HUEHUETENANGO,HUEHUETENANGO,52,3,55
HUEHUETENANGO,CHIANTLA,4,0,4
HUEHUETENANGO,MALACATANCITO,2,0,2
HUEHUETENANGO,CUILCO,2,0,2
HUEHUETENANGO,NENTON,0,0,0
HUEHUETENANGO,SAN PEDRO NECTA,10,1,11
HUEHUETENANGO,JACALTENANGO,2,0,2
HUEHUETENANGO,SOLOMA,0,0,0
HUEHUETENANGO,SAN IDELFONSO IXTAHUACAN,0,0,0
HUEHUETENANGO,SANTA BARBARA,0,0,0
HUEHUETENANGO,LA LIBERTAD,3,0,3
HUEHUETENANGO,LA DEMOCRACIA,3,0,3
HUEHUETENANGO,SAN MIGUEL ACATAN,0,0,0
HUEHUETENANGO,SAN RAFAEL INDEPENDENCIA,0,0,0
HUEHUETENANGO,TODOS SANTOS CUCHUMATAN,0,0,0
HUEHUETENANGO,SAN JUAN ATITAN,0,0,0
HUEHUETENANGO,SANTA EULALIA,0,0,0
HUEHUETENANGO,SAN MATEO IXTATAN,0,0,0
HUEHUETENANGO,COLOTENANGO,2,0,2
HUEHUETENANGO,SAN SEBASTIAN HUEHUETENANGO,0,0,0
HUEHUETENANGO,TECTITAN,0,0,0
HUEHUETENANGO,CONCEPCION HUISTA,0,0,0
HUEHUETENANGO,SAN JUAN IXCOY,0,0,0
HUEHUETENANGO,SAN ANTONIO HUISTA,0,0,0
HUEHUETENANGO,SAN SEBASTIAN COATAN,1,0,1
HUEHUETENANGO,BARILLAS,3,0,3
HUEHUETENANGO,AGUACATAN,3,1,4
HUEHUETENANGO,SAN RAFAEL PETZAL,0,0,0
HUEHUETENANGO,SAN GASPAR IXCHIL,0,0,0
HUEHUETENANGO,SANTIAGO CHIMALTENANGO,2,1,3
HUEHUETENANGO,SANTA ANA HUISTA,0,0,0
HUEHUETENANGO,UNION CANTINIL,3,1,4
QUICHE,SANTA CRUZ DEL QUICHE,6,0,6
QUICHE,CHICHE,1,0,1
QUICHE,CHINIQUE,0,0,0
QUICHE,ZACUALPA,1,0,1
QUICHE,CHAJUL,0,0,0
QUICHE,CHICHICASTENANGO,0,0,0
QUICHE,PATZITE,0,0,0
QUICHE,SAN ANTONIO ILOTENANGO,0,0,0
QUICHE,SAN PEDRO JOCOPILAS,0,0,0
QUICHE,CUNEN,8,1,9
QUICHE,SAN JUAN COTZAL,3,1,4
QUICHE,JOYABAJ,0,0,0
QUICHE,NEBAJ,4,0,4
QUICHE,SAN ANDRES SAJCABAJA,4,0,4
QUICHE,USPANTAN,16,0,16
QUICHE,SACAPULAS,7,0,7
QUICHE,SAN BARTOLOME JOCOTENANGO,0,0,0
QUICHE,CANILLA,0,0,0
QUICHE,CHICAMAN,2,0,2
QUICHE,PLAYA GRANDE-IXCAN,0,0,0
QUICHE,PACHALUM,0,0,0
BAJA VERAPAZ,SALAMA,8,0,8
BAJA VERAPAZ,SAN MIGUEL CHICAJ,5,0,5
BAJA VERAPAZ,RABINAL,15,1,16
BAJA VERAPAZ,CUBULCO,4,0,4
BAJA VERAPAZ,GRANADOS,0,0,0
BAJA VERAPAZ,EL CHOL,0,0,0
BAJA VERAPAZ,SAN JERONIMO,15,1,16
BAJA VERAPAZ,PURULHA,2,0,2
ALTA VERAPAZ,COBAN,5,1,6
ALTA VERAPAZ,SANTA CRUZ VERAPAZ,0,0,0
ALTA VERAPAZ,SAN CRISTOBAL VERAPAZ,6,1,7
ALTA VERAPAZ,TACTIC,4,0,4
ALTA VERAPAZ,TAMAHU,3,0,3
ALTA VERAPAZ,TUCURU,0,0,0
ALTA VERAPAZ,PANZOS,3,0,3
ALTA VERAPAZ,SENAHU,0,1,1
ALTA VERAPAZ,SAN PEDRO CARCHA,3,0,3
ALTA VERAPAZ,SAN JUAN CHAMELCO,2,0,2
ALTA VERAPAZ,LANQUIN,1,0,1
ALTA VERAPAZ,CAHABON,0,0,0
ALTA VERAPAZ,CHISEC,1,0,1
ALTA VERAPAZ,CHAHAL,1,0,1
ALTA VERAPAZ,FRAY BARTOLOME DE LAS CASA,0,0,0
ALTA VERAPAZ,SANTA CATARINA LA TINTA,0,0,0
ALTA VERAPAZ,RAXRUHA,0,0,0
PETEN,FLORES,0,0,0
PETEN,SAN JOSE,0,0,0
PETEN,SAN BENITO,1,0,1
PETEN,SAN ANDRES,0,0,0
PETEN,LA LIBERTAD,0,0,0
PETEN,SAN FRANCISCO,0,0,0
PETEN,SANTA ANA,0,0,0
PETEN,DOLORES,0,0,0
PETEN,SAN LUIS,0,0,0
PETEN,SAYAXCHE,0,0,0
PETEN,MELCHOR DE MENCOS,0,0,0
PETEN,POPTUN,1,0,1
PETEN,LAS CRUCES,0,0,0
IZABAL,PUERTO BARRIOS,0,0,0
IZABAL,LIVINGSTON,1,0,1
IZABAL,EL ESTOR,0,0,0
IZABAL,MORALES,7,0,7
IZABAL,LOS AMATES,4,0,4
ZACAPA,ZACAPA,13,2,15
ZACAPA,ESTANZUELA,1,0,1
ZACAPA,RIO HONDO,2,0,2
ZACAPA,GUALAN,2,0,2
ZACAPA,TECULUTAN,0,0,0
ZACAPA,USUMATLAN,0,0,0
ZACAPA,CABA,2,0,2
ZACAPA,SAN DIEGO,8,0,8
ZACAPA,LA UNION,1,0,1
ZACAPA,HUITE,1,0,1
CHIQUIMULA,CHIQUIMULA,3,0,3
CHIQUIMULA,SAN JOSE LA ARADA,0,1,1
CHIQUIMULA,SAN JUAN ERMITA,0,0,0
CHIQUIMULA,JOCOTAN,4,0,4
CHIQUIMULA,CAMOTAN,3,0,3
CHIQUIMULA,OLOPA,0,0,0
CHIQUIMULA,ESQUIPULAS,1,0,1
CHIQUIMULA,CONCEPCION LAS MINAS,0,0,0
CHIQUIMULA,QUETZALTEPEQUE,1,0,1
CHIQUIMULA,SAN JACINTO,2,0,2
CHIQUIMULA,IPALA,1,0,1
JALAPA,JALAPA,47,5,52
JALAPA,SAN PEDRO PINULA,24,1,25
JALAPA,SAN LUIS JILOTEPEQUE,2,1,3
JALAPA,SAN MANUEL CHAPARRON,0,0,0
JALAPA,SAN CARLOS ALZATATE,0,0,0
JALAPA,MONJAS,1,0,1
JALAPA,MATAQUESCUINTLA,5,0,5
JUTIAPA,JUTIAPA,85,7,92
JUTIAPA,EL PROGRESO,7,0,7
JUTIAPA,SANTA CATARINA MITA,4,0,4
JUTIAPA,AGUA BLANCA,2,0,2
JUTIAPA,ASUNCION MITA,2,0,2
JUTIAPA,YUPILTEPEQUE,3,0,3
JUTIAPA,ATESCATEMPA,2,0,2
JUTIAPA,JEREZ,0,0,0
JUTIAPA,EL ADELANTO,0,0,0
JUTIAPA,ZAPOTITLAN,5,1,6
JUTIAPA,COMAPA,6,0,6
JUTIAPA,JALPATAGUA,6,0,6
JUTIAPA,CONGUACO,5,0,5
JUTIAPA,MOYUTA,6,1,7
JUTIAPA,PASACO,1,1,2
JUTIAPA,SAN JOSE ACATEMPA,2,1,3
JUTIAPA,QUEZADA,0,0,0
